Ngày đặt hàng,Mã đơn hàng,Barcode,Tên sản phẩm,Tên phân loại hàng,Số lượng,Giá bán thực,Người Mua,Phương thức thanh toán,Tỉnh/Thành phố,Hủy bởi,Hủy với lý do,Trạng thái Trả hàng/Hoàn tiền,Thời gian hoàn thành đơn hàng
03/02/2022,220203GQUGVX79,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,,,,09/02/2022
03/02/2022,220203GUJG1FN2,2000000001975,KAMITO CỎ NHÂN TẠO TA11-AS - F21001 - TRẮNG/VÀNG,41,1,690000,xuanlong26,Thanh toán khi nhận hàng,Khánh Hòa,,,,10/02/2022
04/02/2022,220204J848F89J,2000000005485,KAMITO CỎ NHÂN TẠO TA11-AS - F21001 - TRẮNG/VÀNG,44,1,690000,hoangducdung2112005,Thanh toán khi nhận hàng,Nghệ An,,,,10/02/2022
04/02/2022,220204JG073CD7,MIP1GZ180245-M,LÓT GIÀY MIZUNO - P1GZ180245 - VÀNG,M,1,80000,yjghdbk2le,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,04/02/2022
04/02/2022,220204JP7G8T9E,4550234819634,MIZUNO MORELIA NEO III PRO AS TF - P1GD218403 - BẠC,43,1,3050000,nhitit99,Thanh toán khi nhận hàng,Hà Nam,,,,11/02/2022
04/02/2022,220204JRMANBWS,4064055038520,ADIDAS BA LÔ FUTURE ICONS CLASSIC - GU0880 - ĐEN/TRẮNG,Balo,1,550000,saerxtace,Thanh toán khi nhận hàng,Bắc Ninh,,,,08/02/2022
04/02/2022,220204JT8C1SB3,3730581000000,BÓ GÓT CHÂN GRANDSPORT – 373-058 – ĐEN,Default Title,1,80000,tan....le,Thanh toán khi nhận hàng,Cần Thơ,Hủy bởi người mua,Lý do khác,,
04/02/2022,220204JT8C1SB3,4550233607102,MIZUNO MONARCIDA NEO SALA PRO TF – Q1GB201164 – HỒNG SAN HÔ / TRẮNG,42.5,1,1890000,tan....le,Thanh toán khi nhận hàng,Cần Thơ,Hủy bởi người mua,Lý do khác,,
04/02/2022,220204JT8C1SB3,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,30000,tan....le,Thanh toán khi nhận hàng,Cần Thơ,Hủy bởi người mua,Lý do khác,,
04/02/2022,220204JVVC2K6G,194956598435,NIKE TIEMPO LEGEND 8 ACADEMY TF IMPULSE - AT6100-303 - XANH NGỌC,40.5,1,1850000,aphuong96,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Muốn thay đổi địa chỉ giao hàng,,
04/02/2022,220204JVVC2K6G,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,aphuong96,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Muốn thay đổi địa chỉ giao hàng,,
04/02/2022,220204JVVC2K6G,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,aphuong96,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Muốn thay đổi địa chỉ giao hàng,,
04/02/2022,220204JW3H32JD,194956598480,NIKE TIEMPO LEGEND 8 ACADEMY TF IMPULSE - AT6100-303 - XANH NGỌC,44,1,1850000,aphuong96,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
04/02/2022,220204JW3H32JD,VOTHF-4,VỚ ĐÁ BÓNG THF,Đen viền trắng,1,0,aphuong96,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
04/02/2022,220204JW3H32JD,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,aphuong96,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
04/02/2022,220204JYX9PGDA,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,90000,oopshas,Thanh toán khi nhận hàng,Phú Yên,,,,11/02/2022
04/02/2022,220204K3B18D9N,194956598480,NIKE TIEMPO LEGEND 8 ACADEMY TF IMPULSE - AT6100-303 - XANH NGỌC,44,1,1690000,aphuong96,Thanh toán khi nhận hàng,Kon Tum,,,,10/02/2022
04/02/2022,220204K3B18D9N,VOTHF-4,VỚ ĐÁ BÓNG THF,Đen viền trắng,1,0,aphuong96,Thanh toán khi nhận hàng,Kon Tum,,,,10/02/2022
04/02/2022,220204K3B18D9N,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,aphuong96,Thanh toán khi nhận hàng,Kon Tum,,,,10/02/2022
04/02/2022,220204K3MG6QW3,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,90000,trung091122,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,07/02/2022
04/02/2022,220204KCG6HG4V,195237019601,NIKE TIEMPO LEGEND 9 ACADEMY TF - DA1191-176 - TRẮNG/ĐỎ/VÀNG,41,1,1890000,bobo1212002,Thanh toán khi nhận hàng,Ninh Thuận,,,,06/02/2022
04/02/2022,220204KCG6HG4V,VOTHF-3,VỚ ĐÁ BÓNG THF,Trắng viền đen,1,0,bobo1212002,Thanh toán khi nhận hàng,Ninh Thuận,,,,06/02/2022
04/02/2022,220204KCG6HG4V,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,bobo1212002,Thanh toán khi nhận hàng,Ninh Thuận,,,,06/02/2022
04/02/2022,220204KKESJ6EN,8717154532463,CHAI XỊT NÓNG 150ML STARBALM – ĐỎ,150 ML,1,220000,_2308nhan,Thanh toán khi nhận hàng,Bà Rịa - Vũng Tàu,,,,08/02/2022
